Group,Team
A,Germany
A,Scotland
A,Hungary
A,Switzerland
B,Spain
B,Croatia
B,Italy
B,Albania
C,Slovenia
C,Denmark
C,Serbia
C,England
D,Poland
D,Netherlands
D,Austria
D,France
E,Belgium
E,Slovakia
E,Romania
E,Ukraine
F,Turkey
F,Georgia
F,Portugal
F,Czech Republic
